land_parcel_std,separated_names,tenderer_rank,num_tenderers_same_rank,tender_price,price_psm_gfa,tenderer_id,tenderer_name,unified_name
Anson Road/Enggor Street,ST JAMES POWER STATION Pte. Ltd.,1,1,391930000.0,10991.67,tenderer_1,ST JAMES POWER STATION Pte. Ltd.,0
Tanjong Pagar Road/Tras Street,CHNG GIM HUAT,1,1,97070000.0,6049.11,tenderer_1,CHNG GIM HUAT,0
Orchard Road/Paterson Road,CAPITALAND RETAIL SINGAPORE INVESTMENTS Pte. Ltd. | GRESWARD Pte. Ltd.,1,2,1380000000.0,10976.25,tenderer_1,CAPITALAND RETAIL SINGAPORE INVESTMENTS Pte. Ltd.,0
Orchard Road/Paterson Road,IOI LAND SINGAPORE Pte. Ltd.,2,1,1268000101.0,10085.42,tenderer_1,IOI LAND SINGAPORE Pte. Ltd.,0
Woodlands Industrial Park E4/E5,SINGAPORE SAFETY DRIVING CENTRE Ltd.,1,1,6666666.0,106.67,tenderer_1,SINGAPORE SAFETY DRIVING CENTRE Ltd.,0
Tuas South Avenue 2/Tuas South Avenue 3,TEAMBUILD REALTY Pte. Ltd.,2,1,5000000.0,138.89,tenderer_1,TEAMBUILD REALTY Pte. Ltd.,0
Tuas South Avenue 2/Tuas South Avenue 3,YEE LEE CONSTRUCTION Pte. Ltd.,1,1,5800000.0,161.11,tenderer_1,YEE LEE CONSTRUCTION Pte. Ltd.,0
Tanah Merah Kechil Avenue,TM PROPERTY Pte. Ltd.,2,1,204388888.0,3336.69,tenderer_1,TM PROPERTY Pte. Ltd.,0
Bedok North Avenue 4,RICHLAND GROUP LIMITED,1,1,5118000.0,258.95,tenderer_1,RICHLAND GROUP LIMITED,0
Bedok North Avenue 4,WOODLAND AUTO Pte. Ltd.,2,1,5105800.0,258.34,tenderer_1,WOODLAND AUTO Pte. Ltd.,0
Woodlands Industrial Park E2/E9,EVAN LIM & CO. Pte. Ltd.,1,1,5850000.0,376.98,tenderer_1,EVAN LIM & CO. Pte. Ltd.,0
Woodlands Industrial Park E2/E9,TEAMBUILD REALTY Pte. Ltd.,2,1,5512000.0,355.2,tenderer_1,TEAMBUILD REALTY Pte. Ltd.,0
Orchard Road/Somerset Road,LEND LEASE RETAIL INVESTMENTS 1 Pte. Ltd.,1,1,617200000.0,15661.0,tenderer_1,LEND LEASE RETAIL INVESTMENTS 1 Pte. Ltd.,0
Sinaran Drive,KINGSTON DEVELOPMENT Pte. Ltd.,2,1,202020000.0,4629.35,tenderer_1,KINGSTON DEVELOPMENT Pte. Ltd.,0
Clemenceau Avenue/Unity Street,PARKSING PROPERTY Pte. LIMITED,1,1,55500000.0,5019.9,tenderer_1,PARKSING PROPERTY Pte. LIMITED,0
Clemenceau Avenue/Unity Street,RIVERLAND Pte. Ltd.,2,1,52180000.0,4719.61,tenderer_1,RIVERLAND Pte. Ltd.,0
Collyer Quay,PRECIOUS TREASURE Pte. Ltd.,1,1,,0.0,tenderer_1,PRECIOUS TREASURE Pte. Ltd.,0
Mohamed Sultan Road,PARK PLAZA Pte. Ltd.,2,1,35300000.0,4299.63,tenderer_1,PARK PLAZA Pte. Ltd.,0
Bencoolen Street,LASALLE LAO SINGAPORE Pte. Ltd.,1,1,73000000.0,4859.22,tenderer_1,LASALLE LAO SINGAPORE Pte. Ltd.,0
Bencoolen Street,PARK PLAZA Pte. Ltd.,2,1,60800000.0,4047.13,tenderer_1,PARK PLAZA Pte. Ltd.,0
Sinaran Drive,Park Plaza Pte. Ltd.,2,1,98000000.0,4030.77,tenderer_1,Park Plaza Pte. Ltd.,0
Woodlands Industrial Park E5,OON KOON CHENG,1,1,5120000.0,304.33,tenderer_1,OON KOON CHENG,0
Tuas Bay Drive/Tuas South Avenue 3,PTC EXPRESS Pte. Ltd.,1,1,9090000.0,247.56,tenderer_1,PTC EXPRESS Pte. Ltd.,0
Tuas Bay Drive/Tuas South Avenue 3,TORRIN Pte. Ltd.,2,1,8555555.0,233.01,tenderer_1,TORRIN Pte. Ltd.,0
New Bridge Road/North Canal Road,KIM ENG PROPERTIES Pte. Ltd.,1,1,44000000.0,8163.27,tenderer_1,KIM ENG PROPERTIES Pte. Ltd.,0
Handy Road,ALLIANCE DEVELOPMENT Pte. Ltd.,2,1,70398000.0,7011.05,tenderer_1,ALLIANCE DEVELOPMENT Pte. Ltd.,0
Tampines Street 92/Simei Avenue,STORHUB SELF STORAGE Pte. Ltd.,1,1,8688000.0,310.86,tenderer_1,STORHUB SELF STORAGE Pte. Ltd.,0
Tampines Street 92/Simei Avenue,EASTPOINT DEVELOPMENT Pte. Ltd.,2,1,6318000.0,226.06,tenderer_1,EASTPOINT DEVELOPMENT Pte. Ltd.,0
Gambas Avenue/Gambas Crescent,HLS Development Pte. Ltd.,1,1,78168000.0,1459.26,tenderer_1,HLS Development Pte. Ltd.,0
Tanjong Pagar Road/Gopeng Street,CARLTON PROPERTIES (SINGAPORE) Pte. Ltd.,1,1,123000000.0,6170.67,tenderer_1,CARLTON PROPERTIES Pte. Ltd.,0
Ang Mo Kio Avenue 2/Ang Mo Kio Street 13,Athens Residential Development Pte. Ltd.,2,1,536200000.0,8289.02,tenderer_1,Athens Residential Development Pte. Ltd.,0
West Coast Crescent,BILLION RISE LIMITED,1,1,110440000.0,3286.9,tenderer_1,BILLION RISE LIMITED,0
